Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,New_cases_roll7,New_deaths_roll7,CFR_roll7,Variant_phase,ISO3,COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,CFR_roll7_clean,population,cases_per_million,deaths_per_million
2020-04-19,CL,Chile,AMR,478.0,9730,10.0,126,400.4285714285714,7.571428571428571,0.0189083125222975,Pre-Alpha,CHL,,,,,,,,,,,,0.0189083125222975,19212000,20.842628119330175,0.39409892626632165
2020-04-20,CL,Chile,AMR,358.0,10088,7.0,133,410.7142857142857,7.571428571428571,0.0184347826086956,Pre-Alpha,CHL,,,,,,,,,,,,0.0184347826086956,19212000,21.37800779274858,0.39409892626632165
2020-04-21,CL,Chile,AMR,419.0,10507,6.0,139,426.0,8.142857142857142,0.0191146881287726,Pre-Alpha,CHL,,,,,,,,,,,,0.0191146881287726,19212000,22.173641474078703,0.42384224145623267
2020-04-22,CL,Chile,AMR,325.0,10832,8.0,147,416.4285714285714,7.857142857142857,0.0188679245283018,Pre-Alpha,CHL,,,,,,,,,,,,0.0188679245283018,19212000,21.67544094464769,0.40897058386127716
2020-04-23,CL,Chile,AMR,464.0,11296,13.0,160,431.8571428571428,9.428571428571429,0.0218326166060205,Pre-Alpha,CHL,,,,,,,,,,,,0.0218326166060205,19212000,22.478510454775286,0.49076470063353267
2020-04-24,CL,Chile,AMR,516.0,11812,8.0,168,429.2857142857143,9.0,0.0209650582362728,Pre-Alpha,CHL,,,,,,,,,,,,0.0209650582362728,19212000,22.34466553642069,0.4684572142410993
2020-04-25,CL,Chile,AMR,494.0,12306,6.0,174,436.2857142857143,8.285714285714286,0.0189914865749836,Pre-Alpha,CHL,,,,,,,,,,,,0.0189914865749836,19212000,22.7090211474971,0.4312780702537105
2020-04-26,CL,Chile,AMR,552.0,12858,7.0,181,446.8571428571428,7.857142857142857,0.0175831202046035,Pre-Alpha,CHL,,,,,,,,,,,,0.0175831202046035,19212000,23.25927247851045,0.40897058386127716
2020-04-27,CL,Chile,AMR,473.0,13331,8.0,189,463.2857142857143,8.0,0.0172679617637989,Pre-Alpha,CHL,,,,,,,,,,,,0.0172679617637989,19212000,24.114392790220396,0.41640641265875494
2020-04-28,CL,Chile,AMR,482.0,13813,9.0,198,472.2857142857143,8.428571428571429,0.0178463399879007,Pre-Alpha,CHL,,,,,,,,,,,,0.0178463399879007,19212000,24.5828500044615,0.43871389905118824
2020-04-29,CL,Chile,AMR,552.0,14365,9.0,207,504.7142857142857,8.571428571428571,0.0169827342202094,Pre-Alpha,CHL,,,,,,,,,,,,0.0169827342202094,19212000,26.270783141488952,0.446149727848666
2020-04-30,CL,Chile,AMR,770.0,15135,9.0,216,548.4285714285714,8.0,0.014587132065642,Pre-Alpha,CHL,,,,,,,,,,,,0.014587132065642,19212000,28.54614675351715,0.41640641265875494
2020-05-01,CL,Chile,AMR,888.0,16023,11.0,227,601.5714285714286,8.428571428571429,0.0140109237710757,Pre-Alpha,CHL,,,,,,,,,,,,0.0140109237710757,19212000,31.312275066178874,0.43871389905118824
2020-05-02,CL,Chile,AMR,985.0,17008,7.0,234,671.7142857142857,8.571428571428571,0.0127605274351339,Pre-Alpha,CHL,,,,,,,,,,,,0.0127605274351339,19212000,34.963267005740455,0.446149727848666
2020-05-03,CL,Chile,AMR,1427.0,18435,13.0,247,796.7142857142857,9.428571428571429,0.0118343195266272,Pre-Alpha,CHL,,,,,,,,,,,,0.0118343195266272,19212000,41.46961720353351,0.49076470063353267
